element,parent element,definition,rationale,category,provisional,responsibility,obligation,searchable in,retain order,facet,Brief display,Full display,note on display,relevance importance,endeca equivalent,notes,implementation details,documentation,JIRA issue,is parent?,vernacular treatment,vernacular status,element type,argot-ruby processor/pattern,abstract processing pattern,issue ct,mapping ct,done in mta?,tests?,in schema?,,,,,,,,
available,x,Binary (Available/Not available) value for Availability facet,.,.,n,local,"{0,1}",not indexed,x,Availability,x,x,x,x,Availability,x,See linked documentation,needed (base on JIRA ticket),https://trlnmain.atlassian.net/browse/TD-365,n,na - no vernacular expected,{na},simple element,default,string,0,1,.,.,y,,,,,,,,
barcodes,x,Array of item barcode values associated with/attached to bib record.,Support staff use,item data,n,local,"{0,n}",barcode;;;ids;;;keyword,x,x,x,x,x,.,ItemBarcode,x,Pull barcode value from each item record and write it to an array in top-level field,needed (base on JIRA ticket),https://trlnmain.atlassian.net/browse/TD-163,n,na - no vernacular expected,{na},simple element,default,array of one or more string elements,0,1,.,.,y,,,,,,,,
call_number_schemes,x,List of codes for call number schemes used in the record,.,call number,n,shared,"{0,n}",not indexed,x,x,x,x,x,x,x,x,.,needed,.,n,na - no vernacular expected,{na},simple element,default,.,0,0,.,.,.,,,,,,,,
concurrent_users,x,Number of concurrent users (for a licensed e-resource),Was in development (for prominent display and faceting) in Endeca when that project was frozen. Was considered important by at least UNC and Duke. UNC did extensive work to code this accurately and consistently in all ebook records. ,.,y - po decision needed,local,"{0,1}",not indexed,x,Concurrent users,x,x,x,x,x,x,Should be NUMBER. This number can be mapped to a textual statement for display in the UI,.,https://trlnmain.atlassian.net/browse/TD-499,n,na - no vernacular expected,{na},simple element,default,.,0,0,.,.,.,,,,,,,,
creator_main,x,"Creator from 1XX field. If there is a linked 880 field, that form is combined with the transliterated form in this field",Used to display in search results/above the fold. This is necessary because not all records include a statement of responsibility that names the actual creator. Does NOT need to be indexed because this name is still included in the indexed names field.,names,n,shared,"{0,1}",not indexed,y,x,no label,Summary record > no label,x,.,Main Author,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-creator_main-code,https://trlnmain.atlassian.net/browse/TD-894,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,array of one string element,0,3,.,y,y,,,,,,,,
date_cataloged,x,"Date that record was fully cataloged/completed. If this specific date is not available from the system, you could use a record creation date instead. DO NOT map a ""record updated"" date to this field.","Subject librarians use this facet, combined with call number range, to produce/link to lists of newly available materials of interest to users",dates,n,local,"{0,1}",not indexed,x,New titles,x,x,x,x,DateCataloged,x,"Transform to standard date format; map to desired date ranges (last week, last month, etc)",needed,https://trlnmain.atlassian.net/browse/TD-366,n,na - no vernacular expected,{na},simple element,default,.,0,4,.,.,y,,,,,,,,
derived_work_note,x,"Free text note describing works based on the use, study, or analysis of the materials described in the record. Indexed because 7XX entries are generally not created for the publications listed here. ",.,related works,n,shared,"{0,n}",keyword,y,x,x,Related items > Items based on this one: ,x,.,Indexed Notes,x,.,needed,https://trlnmain.atlassian.net/browse/TD-160,n,vernacular processing needed,convert to nested element w/lang subelement - map/doc needed,simple element,default,.,0,1,.,.,.,,,,,,,,
donor,x,Name of material donor.,"Used to generate ""digital bookplate"" or other institutional specific features related to donor relations.",special,n,local,"{0,n}",author;;;keyword,y,x,x,?,x,x,Donor,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-donor-code,https://trlnmain.atlassian.net/browse/TD-461,y,na - parent element -- see subelements,{na},parent element,default,index_only_value,0,0,.,.,.,,,,,,,,
donor[lang],donor,.,.,special,n,local,"{0,1}",not indexed,x,x,x,x,x,x,Donor,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-donor-code,https://trlnmain.atlassian.net/browse/TD-713,n,na - no vernacular expected,"implementation needed, institution-specific",subelement,default,index_only_value,0,0,.,.,.,,,,,,,,
donor[value],donor,Value of donor name or statement,.,special,n,local,{1},donor,x,x,x,x,x,.,Donor,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-donor-code,https://trlnmain.atlassian.net/browse/TD-461,n,vernacular processing needed,"implementation needed, institution-specific",subelement,default,index_only_value,0,2,.,.,.,,,,,,,,
