argot_field,has parent,is parent?,vernacular treatment,vernacular status,type,argot-marc processor/pattern,category,provisional,responsibility,obligation,searchable in,retain order,facet,Brief display,Full display,note on display,definition,rationale,relevance importance (1=most imp),endeca equivalent,notes,implementation details,documentation,JIRA issue,issue ct,mapping ct,done in mta?,tests?,in schema?
available,x,n,na - no vernacular expected,{na},simple field,.,.,n,local,"{0,1}",not indexed,x,Availability,x,x,x,Binary (Available/Not available) value for Availability facet,.,x,Availability,.,See linked documentation,needed (base on JIRA ticket),https://trlnmain.atlassian.net/browse/TD-365,0,1,.,.,y
barcodes,x,n,na - no vernacular expected,{na},simple field,.,item data,n,local,"{0,n}",barcode;;;ids;;;keyword,x,x,x,x,x,Array of item barcode values associated with/attached to bib record.,Support staff use,.,ItemBarcode,x,Pull barcode value from each item record and write it to an array in top-level field,needed (base on JIRA ticket),https://trlnmain.atlassian.net/browse/TD-163,0,1,.,.,y
concurrent_users,x,n,na - no vernacular expected,{na},simple field,.,.,y - po decision needed,local,"{0,1}",not indexed,x,Concurrent users,x,x,x,Number of concurrent users (for a licensed e-resource),Was in development (for prominent display and faceting) in Endeca when that project was frozen. Was considered important by at least UNC and Duke. UNC did extensive work to code this accurately and consistently in all ebook records. ,x,x,x,Should be NUMBER. This number can be mapped to a textual statement for display in the UI,.,https://trlnmain.atlassian.net/browse/TD-499,0,0,.,.,.
date_cataloged,x,n,na - no vernacular expected,{na},simple field,.,dates,n,local,"{0,1}",not indexed,x,New titles,x,x,x,"Date that record was fully cataloged/completed. If this specific date is not available from the system, you could use a record creation date instead. DO NOT map a ""record updated"" date to this field.","Subject librarians use this facet, combined with call number range, to produce/link to lists of newly available materials of interest to users",x,DateCataloged,x,"Transform to standard date format; map to desired date ranges (last week, last month, etc)",needed,https://trlnmain.atlassian.net/browse/TD-366,0,4,.,.,y
derived_work_note,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,.,related works,n,shared,"{0,n}",keyword,y,x,x,Related items > Items based on this one: ,x,"Free text note describing works based on the use, study, or analysis of the materials described in the record. Indexed because 7XX entries are generally not created for the publications listed here. ",.,.,Indexed Notes,x,.,needed,https://trlnmain.atlassian.net/browse/TD-160,0,1,.,.,.
donor,x,y,parent field -- see child elements,{na},parent field,index_only_value,special,n,local,"{0,n}",author;;;keyword,y,x,x,?,x,Name of material donor.,"Used to generate ""digital bookplate"" or other institutional specific features related to donor relations.",x,Donor,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-donor-code,https://trlnmain.atlassian.net/browse/TD-461,0,0,.,.,.
donor[lang],donor,n,na - supports vernacular processing,"implementation needed, institution-specific",field element,index_only_value,special,n,local,"{0,1}",not indexed,n,x,x,x,x,.,.,x,Donor,.,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-donor-code,https://trlnmain.atlassian.net/browse/TD-713,0,0,.,.,.
donor[value],donor,n,vernacular processing needed,"implementation needed, institution-specific",field element,index_only_value,special,n,local,{1},donor,n,x,x,x,x,Value of donor name or statement,.,.,Donor,.,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-donor-code,https://trlnmain.atlassian.net/browse/TD-461,0,2,.,.,.
edition,x,y,parent field -- see child elements,{na},parent field,labeled_indexed_value,edition,n,shared,"{0,n}",not indexed,y,x,x,x,x,Edition statement,Identify and select items,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-edition-code,https://trlnmain.atlassian.net/browse/TD-478,0,0,n,y,y
edition[label],edition,n,pass through/store vernacular -- no special processing,test/verification needed,field element,labeled_indexed_value,edition,n,shared,"{0,1}",not indexed,x,x,no label,Summary record > no label,x,Contextualizing label for data in the field,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-edition-code,https://trlnmain.atlassian.net/browse/TD-478,0,1,n,y,y
