parent element,element,source schema,provisional?,institution,source data element,source data subelement,constraints,processing_type,processing instructions,notes,mapping_id,mapping issue ct,field issue ct,field defined?,done in mta?,tests done?,,,,,
available,available,MARCish,n,UNC,999,s,i1=9 AND i2=1 and $d IS blank,map subelement to value," = Available"" if status label = 'Ask the MRC', 'Available', 'Contact library for status', or 'In-Library Use Only'. For status code, to status label, see: maps/item_status_ils_to_argot.json[""UNC""]",,availableUNC999si1=9 AND i2=1 and $d IS blank,0,0,n,,,,,,,
barcodes,barcodes,MARCish,n,UNC,999,b,i1=9 AND i2=1,subelement_to_value,x,x,barcodesUNC999bi1=9 AND i2=1,0,0,n,,,,,,,
creator_main,creator_main,MARC,n,GEN,100,abcdegjqu4,none,concat_subelements,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-creator_main-code,creator_mainGEN100abcdegjqu4none,0,0,n,n,y,,,,,
creator_main,creator_main,MARC,n,GEN,110,abcdegnu4,none,concat_subelements,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-creator_main-code,creator_mainGEN110abcdegnu4none,0,0,n,n,y,,,,,
creator_main,creator_main,MARC,n,GEN,111,acdegjnqu4,none,concat_subelements,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-creator_main-code,creator_mainGEN111acdegjnqu4none,0,0,n,n,y,,,,,
date_cataloged,date_cataloged,MARCish,n,DUKE,946,b,none,subelement_to_value,"If necessary, convert to ISO 8601 date/timestamp format",.,date_catalogedDUKE946bnone,0,0,n,.,.,,,,,
date_cataloged,date_cataloged,MARCish,n,NCCU,909,a,none,subelement_to_value,"If necessary, convert to ISO 8601 date/timestamp format",.,date_catalogedNCCU909anone,0,0,n,.,.,,,,,
date_cataloged,date_cataloged,MARCish,n,NCSU,909,a,none,subelement_to_value,"If necessary, convert to ISO 8601 date/timestamp format",.,date_catalogedNCSU909anone,0,0,n,.,.,,,,,
date_cataloged,date_cataloged,MARCish,n,UNC,999,a,i1=0 AND i2=0,subelement_to_value,"If necessary, convert to ISO 8601 date/timestamp format",.,date_catalogedUNC999ai1=0 AND i2=0,0,0,n,.,.,,,,,
derived_work_note,derived_work_note,MARC,n,GEN,581,az3,none,see notes,$3 label; prepend ISBN to $z value,x,derived_work_noteGEN581az3none,0,0,n,,,,,,,
donor,donor[value],MARC,n,UNC,790,abcdgqu,ind 1 = 0,concat_subelements,"Prepend: ""Donated by """,.,donor[value]UNC790abcdgquind 1 = 0,0,0,n,y,y,,,,,
donor,donor[value],MARC,n,UNC,791,abcdfg,ind 1 = 2,concat_subelements,"Prepend: ""Purchased using funds from the """,.,donor[value]UNC791abcdfgind 1 = 2,0,0,n,y,y,,,,,
edition,edition[label],MARC,n,GEN,250,3,none,concat_subelements,x,.,edition[label]GEN2503none,0,0,n,n,y,,,,,
edition,edition[value],MARC,n,GEN,250,ab,none,concat_subelements,x,.,edition[value]GEN250abnone,0,0,n,n,y,,,,,
edition,edition[value],MARC,n,GEN,254,a,none,concat_subelements,x,.,edition[value]GEN254anone,0,0,n,n,y,,,,,
frequency,frequency[current],MARC,n,GEN,310,ab,none,concat_subelements,x,x,frequency[current]GEN310abnone,0,0,n,y,y,,,,,
frequency,frequency[former],MARC,n,GEN,321,ab,none,concat_subelements,x,x,frequency[former]GEN321abnone,0,0,n,y,y,,,,,
genre_headings,genre_headings[value],MARC,n,GEN,382,abdp,none,subelement_to_value,x,x,genre_headings[value]GEN382abdpnone,0,0,n,y,y,,,,,
genre_headings,genre_headings[value],MARC,n,GEN,384,a,none,subelement_to_value,x,x,genre_headings[value]GEN384anone,0,0,y,y,y,,,,,
genre_headings,genre_headings[value],MARC,n,GEN,567,b,none,subelement_to_value,x,x,genre_headings[value]GEN567bnone,0,0,n,y,y,,,,,
genre_headings,genre_headings[value],MARC,n,GEN,653,a,i2 = 6,subelement_to_value,"chomp "".""; deduplicate field when all values have been assigned.",.,genre_headings[value]GEN653ai2 = 6,0,0,n,y,y,,,,,
genre_headings,genre_headings[value],MARC,n,GEN,655,avxyz,none,concat_subelements,"Separate subelements with ""--"", not "" ""; chomp "".""; deduplicate field when all values have been assigned.",x,genre_headings[value]GEN655avxyznone,0,0,n,y,y,,,,,
genre_headings,genre_headings[value],MARC,n,UNC,695,avxyz,none,concat_subelements,"Separate subelements with ""--"", not "" ""; chomp "".""; deduplicate field when all values have been assigned.",x,genre_headings[value]UNC695avxyznone,0,0,n,y,y,,,,,
genre_unc_mrc,genre_unc_mrc,MARC,n,UNC,690,a,LDR/06 = g AND $2 ^uncmrc AND $a value appears on MRC Filmfinder browse-by-genre list,subelement_to_value,x,x,genre_unc_mrcUNC690aLDR/06 = g AND $2 ^uncmrc AND $a value appears on MRC Filmfinder browse-by-genre list,0,0,n,.,.,,,,,
