MARC tag,Field name,concat,$3 label possible,$i label possible?,MARC tag label,Indicator label,Display,Index,Simple processing,Complex processing,Separate field,Obsolete,Display elements,Index elements,display/index different,Notes,mapped?
500,GENERAL NOTE,500 -- GENERAL NOTE,1,0,0,0,1,1,1,0,0,0,3a,a,n,,y
501,WITH NOTE,501 -- WITH NOTE,0,0,0,0,1,1,1,0,0,0,a,a,n,,y
502,DISSERTATION NOTE,502 -- DISSERTATION NOTE,0,0,0,0,1,1,0,1,0,0,abcdgo,abcdgo,n,"If $a only, simple. If no $a or $b, provide some label? If no $a provide punct.",y
503,BIBLIOGRAPHIC HISTORY NOTE,503 -- BIBLIOGRAPHIC HISTORY NOTE,0,0,0,0,0,0,0,0,0,-1,NA,NA,.,.,na
504,"BIBLIOGRAPHY, ETC. NOTE","504 -- BIBLIOGRAPHY, ETC. NOTE",0,0,0,0,1,0,0,1,0,0,ab,NA,display-only,"If $b, # of references label",y
505,FORMATTED CONTENTS NOTE,505 -- FORMATTED CONTENTS NOTE,0,0,0,1,1,1,1,0,1,0,agrt,art,y,,y
506,RESTRICTIONS ON ACCESS NOTE,506 -- RESTRICTIONS ON ACCESS NOTE,1,0,0,0,1,0,1,0,1,0,abcdefu,NA,display-only,,y
507,SCALE NOTE FOR GRAPHIC MATERIAL,507 -- SCALE NOTE FOR GRAPHIC MATERIAL,0,0,0,0,1,1,1,0,0,0,ab,ab,n,.,y
508,CREATION/PRODUCTION CREDITS NOTE,508 -- CREATION/PRODUCTION CREDITS NOTE,0,0,0,0,1,1,1,0,1,0,a,a,n,field: credits,
510,CITATION/REFERENCES NOTE,510 -- CITATION/REFERENCES NOTE,1,0,?,?,?,?,?,?,?,?,?,?,.,Feedback requested: https://trlnmain.atlassian.net/browse/TD-483,
511,PARTICIPANT OR PERFORMER NOTE,511 -- PARTICIPANT OR PERFORMER NOTE,0,0,0,1,1,1,1,0,1,0,a,a,n,.,
512,EARLIER OR LATER VOLUMES SEPARATELY CATALOGED NOTE,512 -- EARLIER OR LATER VOLUMES SEPARATELY CATALOGED NOTE,0,0,0,0,0,0,0,0,0,-1,NA,NA,.,.,na
513,TYPE OF REPORT AND PERIOD COVERED NOTE,513 -- TYPE OF REPORT AND PERIOD COVERED NOTE,0,0,0,0,1,1,1,0,0,0,ab,ab,n,.,
