880 linked to MARC tag,count
{245},189847
{260},136265
{100},122554
{250},97964
{700},89279
{490},68427
{830},62825
{264},47313
{246},37297
{710},37010
{500},30599
{600},29843
{505},9540
{130},9039
{610},7285
{773},7103
{740},6597
{651},5160
{776},4743
{310},3724
{650},3352
{240},3269
{800},3021
{110},2337
{520},2253
{362},2062
{630},1936
{730},1872
{111},1613
{511},1500
{780},1472
{504},1375
{550},1128
{508},1111
{785},794
{588},663
{515},504
{653},463
{580},430
{711},410
{300},286
{501},211
{770},191
{775},183
{222},168
{534},166
{502},164
{546},164
{655},131
{037},127
{533},122
{787},108
{772},102
{586},79
{525},77
{020},73
{765},65
{611},64
{210},61
{521},45
{028},44
{648},43
{810},41
{767},32
{440},16
{760},16
{777},16
{752},15
{247},11
{856},11
{762},10
{254},9
{510},8
{555},8
{530},7
{536},7
{538},6
{540},6
{774},6
{255},5
{321},5
{590},3
{811},3
{880},2
{978},2
{242},1
{256},1
{506},1
{518},1
{542},1
{547},1
{561},1
{585},1
{786},1
