Prepipeline label	Element name	Endeca dmod name	Facet on element?	Indexed in
008PubDate	PubDateSort	PubDateSort	no	not indexed
008PubDate	Publication Year	Publication Year	yes	not indexed
020	ISBN	ISBN	no	ISBN, Keyword
Syndetics_ISBN	Syndetics ISBN	Syndetics_ISBN	no	not indexed
022	ISSN	ISSN	no	ISBN, Keyword
024	ISBN	ISBN	no	ISBN, Keyword
UPC	UPC	UPC	no	ISBN, Keyword
028	Publisher Number	Publisher Number	no	Keyword
100	Main Author	Main Author	no	Author, Author_Brief, Keyword, Keyword_Brief
110	Main Author	Main Author	no	Author, Author_Brief, Keyword, Keyword_Brief
110	Author	Author	yes	Author, Author_Brief, Keyword
111	Main Author	Main Author	no	Author, Author_Brief, Keyword, Keyword_Brief
111	Author	Author	yes	Author, Author_Brief, Keyword
130_journal	Journal Uniform Title	Journal Uniform Title	no	Journal_Concise, Journal_Title
130	Main Uniform Title	Main Uniform Title	no	Keyword, Keyword_Brief, Title, Title_Brief
210_journal	Journal Title Abbreviation	Journal Title Abbreviation	no	Journal_Concise, Journal_Title
210	Title Index	Title Index	no	Keyword, Keyword_Brief, Title
240	Uniform Title	Uniform Title	no	Keyword, Keyword_Brief, Title
242c	Other Author Translation	Other Author Translation	no	Author, Keyword, Keyword_Brief
242	Other Title Translation	Other Title Translation	no	Keyword, Keyword_Brief, Title
243	Collective Uniform Title	Collective Uniform Title	no	not indexed
245a_journal	Journal Title Index	Journal Title Index	no	Journal_Concise, Journal_Title, Title_Brief
245c	Statement of Responsibility	Statement of Responsibility	no	Author, Keyword
245	Main Title	Main Title	no	Keyword, Keyword_Brief, Title, Title_Brief
245sort	Title Sort	Title Sort	no	not indexed
246_journal	Journal Varying Title	Journal Varying Title	no	Journal_Title
246	Varying Titles	Varying Titles	no	Keyword, Keyword_Brief, Title, Title_Brief
247_journal	Journal Varying Title	Journal Varying Title	no	Journal_Title
247	Varying Titles	Varying Titles	no	Keyword, Keyword_Brief, Title, Title_Brief
250	Edition	Edition	no	Keyword
254	Musical Presentation	Musical Presentation	no	not indexed
255	Cartographic Data	Cartographic Data	no	Keyword
260b	Publisher	Publisher	no	Keyword, Keyword_Brief, Publisher
260c	Published	Published	no	not indexed
260	Imprint	Imprint	no	not indexed
262b	Sound Recording Imprint	Sound Recording Imprint	no	Keyword, Keyword_Brief
262	Imprint	Imprint	no	not indexed
264a1	Imprint	Imprint	no	not indexed
264b1	Publisher	Publisher	no	Keyword, Keyword_Brief, Publisher
264c1	Published	Published	no	not indexed
264a0	Production Statement	Production Statement	no	not indexed
264b0	Producer	Producer	no	Keyword, Publisher
264a2	Distribution Statement	Distribution Statement	no	not indexed
264b2	Distributor	Distributor	no	Keyword, Publisher
264a3	Manufacturer Statement	Manufacturer Statement	no	not indexed
264b3	Manufacturer	Manufacturer	no	Keyword, Publisher
264c4	Copyright	Copyright	no	not indexed
