Property name	Data type	Sortable	System Primary Key	Filter
Access	ALPHA	n	n	n
Access Restrictions	ALPHA	n	n	n
Authors Normalized	ALPHA	n	n	n
Biographical Sketch	ALPHA	n	n	n
Call Number	ALPHA	n	n	n
Call Number Sort	ALPHA	y	n	n
Cartographic Data	ALPHA	n	n	n
Circulation Level	INTEGER	y	n	n
Class Schemes	ALPHA	n	n	n
Collective Uniform Title	ALPHA	n	n	n
Constituent Unit Linking	ALPHA	n	n	n
Copyright	INTEGER	n	n	n
Copyright Statement	ALPHA	n	n	n
Cumulative Indexes	ALPHA	n	n	n
Current Frequency	ALPHA	n	n	n
DateCataloged	INTEGER	y	n	n
Director	ALPHA	n	n	n
Distribution Statement	ALPHA	n	n	n
Distributor	ALPHA	n	n	n
DocType	ALPHA	n	n	y
Donor	ALPHA	n	n	n
EAD Access Restrictions	ALPHA	n	n	n
EAD Acquisitions Info	ALPHA	n	n	n
EAD Biographical History	ALPHA	n	n	n
EAD Element Flag	ALPHA	n	n	n
EAD Element List	ALPHA	n	n	n
EAD ID	ALPHA	n	n	n
EAD Overview	ALPHA	n	n	n
EAD Preferred Citation	ALPHA	n	n	n
EAD Scope Content	ALPHA	n	n	n
EAD Unit Title	ALPHA	n	n	n
EAD Use Restrictions	ALPHA	n	n	n
Earlier Title	ALPHA	n	n	n
Edition	ALPHA	n	n	n
Edition Vernacular	ALPHA	n	n	n
Edition Vernacular Segmented	ALPHA	n	n	n
Finding Aid URL	ALPHA	n	n	n
Former Frequency	ALPHA	n	n	n
Has Supplement Linking	ALPHA	n	n	n
Holdings Note+A91	ALPHA	n	n	n
Host Item Linking	ALPHA	n	n	n
ICE Chapter Author	ALPHA	n	n	n
ICE Chapter Title	ALPHA	n	n	n
Imprint	ALPHA	n	n	n
Imprint Vernacular	ALPHA	n	n	n
Indexed Notes	ALPHA	n	n	n
ISBN	ALPHA	n	n	n
ISSN	ALPHA	n	n	n
Item Due Date	ALPHA	n	n	n
Item ID	ALPHA	n	n	n
Item Notes	ALPHA	n	n	n
Item Types	ALPHA	n	n	n
Journal Earlier Title	ALPHA	n	n	n
