Argot field,source data format,element/field,subelement/field(s),constraints,processing,notes
creators_and_contributors_main_author,MARC,100,abcdejqu4,na,translate $4 to term,modeling of $e and $4 need to be discussed
creators_and_contributors_main_author,MARC,110,abcdegnu4,na,translate $4 to term,modeling of $e and $4 need to be discussed
creators_and_contributors_main_author,MARC,111,acdegjnqu4,na,translate $4 to term,modeling of $j and $4 need to be discussed
creators_and_contributors_directors,MARC,700,abcdjqu,$e = director OR $4 =~ /drt *$/,na,"do not extract/include $e or $4 values because ""Name, Given, director"" will be redundant when displayed with ""Director:"" label"
creators_and_contributors_additional_authors,MARC,700,abcdejqu4,$e and/or $4 in list of creator codes/terms (http://id.loc.gov/vocabulary/relators/collection_RDACreator.html ),translate $4 to term,modeling of $e and $4 need to be discussed
creators_and_contributors_contributors,MARC,700,abcdejqu4,$e and/or $4 in list of contributor codes/terms (http://id.loc.gov/vocabulary/relators/collection_RDAContributor.html ),translate $4 to term,modeling of $e and $4 need to be discussed
creators_and_contributors_additional_authors,MARC,710,abceu4 -- dgn preceding t,$e and/or $4 in list of creator codes/terms (http://id.loc.gov/vocabulary/relators/collection_RDACreator.html ),translate $4 to term,modeling of $e and $4 need to be discussed
creators_and_contributors_contributors,MARC,710,abceu4 -- dgn preceding t,$e and/or $4 in list of contributor codes/terms (http://id.loc.gov/vocabulary/relators/collection_RDAContributor.html ),translate $4 to term,modeling of $e and $4 need to be discussed
creators_and_contributors_additional_authors,MARC,711,acdejqu4 -- gn preceding t,$j and/or $4 in list of creator codes/terms (http://id.loc.gov/vocabulary/relators/collection_RDACreator.html ),translate $4 to term,modeling of $j and $4 need to be discussed
creators_and_contributors_contributors,MARC,711,acdejqu4 -- gn preceding t,$j and/or $4 in list of contributor codes/terms (http://id.loc.gov/vocabulary/relators/collection_RDAContributor.html ),translate $4 to term,modeling of $j and $4 need to be discussed
creators_and_contributors_other,MARC,700,abcdejqu4,$e and/or $4 in list of other codes/terms (http://id.loc.gov/vocabulary/relators/collection_RDAOther.html ) OR no $e or $4,translate $4 to term,modeling of $e and $4 need to be discussed
creators_and_contributors_other,MARC,710,abceu4 -- dgn preceding t,$e and/or $4 in list of other codes/terms (http://id.loc.gov/vocabulary/relators/collection_RDAOther.html ) OR no $e or $4,translate $4 to term,modeling of $e and $4 need to be discussed
creators_and_contributors_other,MARC,711,acdejqu4 -- gn preceding t,$j and/or $4 in list of other codes/terms (http://id.loc.gov/vocabulary/relators/collection_RDAOther.html ) OR no $j or $4,translate $4 to term,modeling of $j and $4 need to be discussed
creators_and_contributors_included_work_author(s),MARC,700,abcdjqu,i2 = 2 AND field includes t or k,na,.
creators_and_contributors_included_work_author(s),MARC,710,abcu -- dgn preceding t,i2 = 2 AND field includes t or k,na,.
creators_and_contributors_included_work_author(s),MARC,711,acdequ -- gn preceding t,i2 = 2 AND field includes t or k,na,.
creators_and_contributors_related_work_author(s),MARC,700,abcdjqu,i2 != 2 AND field includes t or k,na,.
creators_and_contributors_related_work_author(s),MARC,710,abcu -- dgn preceding t,i2 != 2 AND field includes t or k,na,.
creators_and_contributors_related_work_author(s),MARC,711,acdequ -- gn preceding t,i2 != 2 AND field includes t or k,na,.
creators_and_contributors_statement of responsibility,MARC,245,c,na,na,.
creators_and_contributors_chapter_authors,MARC,505,r,i2 = 0,na,.
creators_and_contributors_chapter_authors,ICE,Chapter Author,na,na,na,.
creators_and_contributors_related_work_author(s),MARC,765,a,na,na,.
creators_and_contributors_related_work_author(s),MARC,767,a,na,na,.
creators_and_contributors_related_work_author(s),MARC,770,a,na,na,.
creators_and_contributors_related_work_author(s),MARC,772,a,na,na,.
creators_and_contributors_related_work_author(s),MARC,773,a,na,na,.
creators_and_contributors_included_work_author(s),MARC,774,a,na,na,.
