MARC tag	Field name	Field repeatability	Field note	Subfield delimiter	Subfield name	Subfield repeatability	Subfield note
010	LIBRARY OF CONGRESS CONTROL NUMBER	NR	.	a	LC control number	NR	.
010	LIBRARY OF CONGRESS CONTROL NUMBER	NR	.	b	NUCMC control number	R	.
010	LIBRARY OF CONGRESS CONTROL NUMBER	NR	.	z	Canceled/invalid LC control number	R	.
010	LIBRARY OF CONGRESS CONTROL NUMBER	NR	.	8	Field link and sequence number	R	.
011	LINKING LIBRARY OF CONGRESS CONTROL NUMBER	NR	[OBSOLETE]	a	LINKING LC control number	R	.
013	PATENT CONTROL INFORMATION	R	.	a	Number	NR	.
013	PATENT CONTROL INFORMATION	R	.	b	Country	NR	.
013	PATENT CONTROL INFORMATION	R	.	c	Type of number	NR	.
013	PATENT CONTROL INFORMATION	R	.	d	Date	R	.
013	PATENT CONTROL INFORMATION	R	.	e	Status	R	.
013	PATENT CONTROL INFORMATION	R	.	f	Party to document	R	.
013	PATENT CONTROL INFORMATION	R	.	6	Linkage	NR	.
013	PATENT CONTROL INFORMATION	R	.	8	Field link and sequence number	R	.
015	NATIONAL BIBLIOGRAPHY NUMBER	R	.	a	National bibliography number	R	.
015	NATIONAL BIBLIOGRAPHY NUMBER	R	.	q	Qualifying information	R	.
015	NATIONAL BIBLIOGRAPHY NUMBER	R	.	z	Canceled/Invalid national bibliography number	R	.
015	NATIONAL BIBLIOGRAPHY NUMBER	R	.	2	Source	NR	.
015	NATIONAL BIBLIOGRAPHY NUMBER	R	.	6	Linkage	NR	.
015	NATIONAL BIBLIOGRAPHY NUMBER	R	.	8	Field link and sequence number	R	.
016	NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER	R	.	a	Record control number	NR	.
016	NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER	R	.	z	Canceled or invalid record control number	R	.
016	NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER	R	.	2	Source	NR	.
016	NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER	R	.	8	Field link and sequence number	R	.
017	COPYRIGHT OR LEGAL DEPOSIT NUMBER	R	.	a	Copyright or legal deposit number	R	.
017	COPYRIGHT OR LEGAL DEPOSIT NUMBER	R	.	b	Assigning agency	NR	.
017	COPYRIGHT OR LEGAL DEPOSIT NUMBER	R	.	d	Date	NR	.
017	COPYRIGHT OR LEGAL DEPOSIT NUMBER	R	.	i	Display text	NR	.
017	COPYRIGHT OR LEGAL DEPOSIT NUMBER	R	.	z	Canceled/invalid copyright or legal deposit number	R	.
017	COPYRIGHT OR LEGAL DEPOSIT NUMBER	R	.	2	Source	NR	.
017	COPYRIGHT OR LEGAL DEPOSIT NUMBER	R	.	6	Linkage	NR	.
017	COPYRIGHT OR LEGAL DEPOSIT NUMBER	R	.	8	Field link and sequence number	R	.
018	COPYRIGHT ARTICLE-FEE CODE	NR	.	a	Copyright article-fee code	NR	.
018	COPYRIGHT ARTICLE-FEE CODE	NR	.	6	Linkage	NR	.
018	COPYRIGHT ARTICLE-FEE CODE	NR	.	8	Field link and sequence number	R	.
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	a	International Standard Book Number	NR	.
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	c	Terms of availability	NR	.
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	q	Qualifying information	R	.
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	z	Canceled/invalid ISBN	R	.
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	6	Linkage	NR	.
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	8	Field link and sequence number	R	.
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	a	International Standard Serial Number	NR	.
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	l	ISSN-L	NR	.
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	m	Canceled ISSN-L	R	.
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	y	Incorrect ISSN	R	.
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	z	Canceled ISSN	R	.
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	2	Source	NR	.
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	6	Linkage	NR	.
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	8	Field link and sequence number	R	.
024	OTHER STANDARD IDENTIFIER	R	.	a	Standard number or code	NR	.
024	OTHER STANDARD IDENTIFIER	R	.	c	Terms of availability	NR	.
024	OTHER STANDARD IDENTIFIER	R	.	d	Additional codes following the standard number or code	NR	.
024	OTHER STANDARD IDENTIFIER	R	.	q	Qualifying information	R	.
024	OTHER STANDARD IDENTIFIER	R	.	z	Canceled/invalid standard number or code	R	.
024	OTHER STANDARD IDENTIFIER	R	.	2	Source of number or code	NR	.
024	OTHER STANDARD IDENTIFIER	R	.	6	Linkage	NR	.
024	OTHER STANDARD IDENTIFIER	R	.	8	Field link and sequence number	R	.
025	OVERSEAS ACQUISITION NUMBER	R	.	a	Overseas acquisition number	R	.
025	OVERSEAS ACQUISITION NUMBER	R	.	8	Field link and sequence number	R	.
026	FINGERPRINT IDENTIFIER	R	.	a	First and second groups of characters	NR	.
026	FINGERPRINT IDENTIFIER	R	.	b	Third and fourth groups of characters	NR	.
026	FINGERPRINT IDENTIFIER	R	.	c	Date	NR	.
026	FINGERPRINT IDENTIFIER	R	.	d	Number of volume or part	R	.
026	FINGERPRINT IDENTIFIER	R	.	e	Unparsed fingerprint	NR	.
026	FINGERPRINT IDENTIFIER	R	.	2	Source	NR	.
026	FINGERPRINT IDENTIFIER	R	.	5	Institution to which field applies	R	.
026	FINGERPRINT IDENTIFIER	R	.	6	Linkage	NR	.
026	FINGERPRINT IDENTIFIER	R	.	8	Field link and sequence number	R	.
027	STANDARD TECHNICAL REPORT NUMBER	R	.	a	Standard technical report number	NR	.
027	STANDARD TECHNICAL REPORT NUMBER	R	.	q	Qualifying information	R	.
027	STANDARD TECHNICAL REPORT NUMBER	R	.	z	Canceled/invalid number	R	.
027	STANDARD TECHNICAL REPORT NUMBER	R	.	6	Linkage	NR	.
027	STANDARD TECHNICAL REPORT NUMBER	R	.	8	Field link and sequence number	R	.
028	PUBLISHER NUMBER OR DISTRIBUTOR NUMBER	R	.	a	Publisher or distributor number	NR	.
028	PUBLISHER NUMBER OR DISTRIBUTOR NUMBER	R	.	b	Source	NR	.
028	PUBLISHER NUMBER OR DISTRIBUTOR NUMBER	R	.	q	Qualifying information	R	.
028	PUBLISHER NUMBER OR DISTRIBUTOR NUMBER	R	.	6	Linkage	NR	.
028	PUBLISHER NUMBER OR DISTRIBUTOR NUMBER	R	.	8	Field link and sequence number	R	.
030	CODEN DESIGNATION	R	.	a	CODEN	NR	.
030	CODEN DESIGNATION	R	.	z	Canceled/invalid CODEN	R	.
030	CODEN DESIGNATION	R	.	6	Linkage	NR	.
030	CODEN DESIGNATION	R	.	8	Field link and sequence number	R	.
031	MUSICAL INCIPITS INFORMATION	R	.	a	Number of work	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	b	Number of movement	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	c	Number of excerpt	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	d	Caption or heading	R	.
031	MUSICAL INCIPITS INFORMATION	R	.	e	Role 	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	g	Clef 	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	m	Voice/instrument	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	n	Key signature	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	o	Time signature	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	p	Musical notation	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	q	General note	R	.
031	MUSICAL INCIPITS INFORMATION	R	.	r	Key or mode	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	s	Coded validity note	R	.
031	MUSICAL INCIPITS INFORMATION	R	.	t	Text incipit	R	.
031	MUSICAL INCIPITS INFORMATION	R	.	u	Uniform Resource Identifier	R	.
031	MUSICAL INCIPITS INFORMATION	R	.	y	Link text	R	.
031	MUSICAL INCIPITS INFORMATION	R	.	z	Public note	R	.
031	MUSICAL INCIPITS INFORMATION	R	.	2	System code	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	6	Linkage	NR	.
031	MUSICAL INCIPITS INFORMATION	R	.	8	Field link and sequence number	R	.
032	POSTAL REGISTRATION NUMBER	R	.	a	Postal registration number	NR	.
032	POSTAL REGISTRATION NUMBER	R	.	b	Source (agency assigning number)	NR	.
032	POSTAL REGISTRATION NUMBER	R	.	6	Linkage	NR	.
032	POSTAL REGISTRATION NUMBER	R	.	8	Field link and sequence number	R	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	a	Formatted date/time	R	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	b	Geographic classification area code	R	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	c	Geographic classification subarea code	R	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	p	Place of event	R	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	0	Authority record control number or standard number	R	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	1	Real World Object URI	R	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	2	Source of term	R	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	3	Materials specified	NR	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	6	Linkage	NR	.
033	DATE/TIME AND PLACE OF AN EVENT	R	.	8	Field link and sequence number	R	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	a	Category of scale	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	b	Constant ratio linear horizontal scale	R	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	c	Constant ratio linear vertical scale	R	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	d	Coordinates--westernmost longitude	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	e	Coordinates--easternmost longitude	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	f	Coordinates--northernmost latitude	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	g	Coordinates--southernmost latitude	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	h	Angular scale	R	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	j	Declination--northern limit	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	k	Declination--southern limit	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	m	Right ascension--eastern limit	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	n	Right ascension--western limit	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	p	Equinox	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	r	Distance from earth 	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	s	G-ring latitude	R	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	t	G-ring longitude	R	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	x	Beginning date	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	y	Ending date	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	z	Name of extraterrestrial body 	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	0	Authority record control number or standard number	R	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	1	Real World Object URI	R	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	2	Source 	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	3	Materials specified	NR	.
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	6	Linkage	NR	.
