MARC tag	Field name	Repeatability	Other note	Endeca mappings
001	CONTROL NUMBER	NR	.	not mapped to Endeca
003	CONTROL NUMBER IDENTIFIER	NR	.	not mapped to Endeca
005	DATE AND TIME OF LATEST TRANSACTION	NR	.	not mapped to Endeca
007	PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION	R	.	not mapped to Endeca
008	FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION	NR	.	33-34 -> Genre;;;35-37 -> Language;;;7-10 -> PubDateSort;;;7-10 -> Publication Year
009	PHYSICAL DESCRIPTION FIXED-FIELD FOR ARCHIVAL COLLECTION		[OBSOLETE]	not mapped to Endeca
010	LIBRARY OF CONGRESS CONTROL NUMBER	NR	.	not mapped to Endeca
011	LINKING LIBRARY OF CONGRESS CONTROL NUMBER	NR	[OBSOLETE]	not mapped to Endeca
013	PATENT CONTROL INFORMATION	R	.	not mapped to Endeca
015	NATIONAL BIBLIOGRAPHY NUMBER	R	.	not mapped to Endeca
016	NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER	R	.	not mapped to Endeca
017	COPYRIGHT OR LEGAL DEPOSIT NUMBER	R	.	not mapped to Endeca
018	COPYRIGHT ARTICLE-FEE CODE	NR	.	not mapped to Endeca
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	az -> ISBN;;;a -> Syndetics ISBN
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	ayz -> ISSN
024	OTHER STANDARD IDENTIFIER	R	.	a -> ISBN;;;WHEN i1=1, a -> UPC
025	OVERSEAS ACQUISITION NUMBER	R	.	not mapped to Endeca
026	FINGERPRINT IDENTIFIER	R	.	not mapped to Endeca
027	STANDARD TECHNICAL REPORT NUMBER	R	.	not mapped to Endeca
028	PUBLISHER NUMBER OR DISTRIBUTOR NUMBER	R	.	ab -> Publisher Number
030	CODEN DESIGNATION	R	.	not mapped to Endeca
031	MUSICAL INCIPITS INFORMATION	R	.	not mapped to Endeca
033	DATE/TIME AND PLACE OF AN EVENT	R	.	not mapped to Endeca
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	not mapped to Endeca
035	SYSTEM CONTROL NUMBER	R	.	not mapped to Endeca
036	ORIGINAL STUDY NUMBER FOR COMPUTER DATA FILES	NR	.	not mapped to Endeca
037	SOURCE OF ACQUISITION	R	.	not mapped to Endeca
038	RECORD CONTENT LICENSOR	NR	.	not mapped to Endeca
040	CATALOGING SOURCE	NR	.	not mapped to Endeca
041	LANGUAGE CODE	R	.	not mapped to Endeca
042	AUTHENTICATION CODE	NR	.	not mapped to Endeca
043	GEOGRAPHIC AREA CODE	NR	.	not mapped to Endeca
044	COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE	NR	.	not mapped to Endeca
045	TIME PERIOD OF CONTENT	NR	.	not mapped to Endeca
046	SPECIAL CODED DATES	R	.	not mapped to Endeca
047	FORM OF MUSICAL COMPOSITION CODE	R	.	not mapped to Endeca
048	NUMBER OF MUSICAL INSTRUMENTS OR VOICES CODE	R	.	not mapped to Endeca
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	not mapped to Endeca
051	LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT	R	.	not mapped to Endeca
052	GEOGRAPHIC CLASSIFICATION	R	.	not mapped to Endeca
055	CLASSIFICATION NUMBERS ASSIGNED IN CANADA	R	.	not mapped to Endeca
060	NATIONAL LIBRARY OF MEDICINE CALL NUMBER	R	.	not mapped to Endeca
061	NATIONAL LIBRARY OF MEDICINE COPY STATEMENT	R	.	not mapped to Endeca
066	CHARACTER SETS PRESENT	NR	.	not mapped to Endeca
070	NATIONAL AGRICULTURAL LIBRARY CALL NUMBER	R	.	not mapped to Endeca
071	NATIONAL AGRICULTURAL LIBRARY COPY STATEMENT	R	.	not mapped to Endeca
072	SUBJECT CATEGORY CODE	R	.	not mapped to Endeca
074	GPO ITEM NUMBER	R	.	not mapped to Endeca
080	UNIVERSAL DECIMAL CLASSIFICATION NUMBER	R	.	not mapped to Endeca
082	DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	not mapped to Endeca
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	not mapped to Endeca
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	not mapped to Endeca
086	GOVERNMENT DOCUMENT CLASSIFICATION NUMBER	R	.	not mapped to Endeca
088	REPORT NUMBER	R	.	not mapped to Endeca
090	LOCAL CALL NUMBER		[OBSOLETE]	not mapped to Endeca
090	SHELF LOCATION		[OBSOLETE]	not mapped to Endeca
091	MICROFILM SHELF LOCATION		[OBSOLETE]	not mapped to Endeca
100	MAIN ENTRY--PERSONAL NAME	NR	.	abcdq -> Author;;;abcdegq -> Main Author
110	MAIN ENTRY--CORPORATE NAME	NR	.	abcdefg -> Author;;;abcdefgn -> Main Author
111	MAIN ENTRY--MEETING NAME	NR	.	acdefnq -> Author;;;abcdefngq -> Main Author
130	MAIN ENTRY--UNIFORM TITLE	NR	.	WHEN LDR/07 = s AND 008/21 = [pP], adfghklmnoprs -> Journal Uniform Title;;;adfghklmnoprs -> Main Uniform Title
210	ABBREVIATED TITLE	R	.	WHEN LDR/07 = s AND 008/21 = [pP], ab -> Journal Title Abbreviation;;;ab -> Title Index
211	ACRONYM OR SHORTENED TITLE	R	[OBSOLETE]	not mapped to Endeca
212	VARIANT ACCESS TITLE	R	[OBSOLETE]	not mapped to Endeca
214	AUGMENTED TITLE	R	[OBSOLETE]	not mapped to Endeca
222	KEY TITLE	R	.	not mapped to Endeca
240	UNIFORM TITLE	NR	.	adfghklmnoprs -> Uniform Title
241	ROMANIZED TITLE	NR	[OBSOLETE]	not mapped to Endeca
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	c -> Other Author Translation;;;abhnp -> Other Title Translation
243	COLLECTIVE UNIFORM TITLE	NR	.	adfklmnoprs -> Collective Uniform Title
245	TITLE STATEMENT	NR	.	WHEN LDR/07 = s AND 008/21 = [pP], abnp -> Journal Title Index;;;abfghknps -> Main Title;;;c -> Statement of Responsibility;;;abfghknps -> Title Sort
246	VARYING FORM OF TITLE	R	.	WHEN LDR/07 = s AND 008/21 = [pP], abhnp -> Journal Varying Title;;;abhnp -> Varying Titles
247	FORMER TITLE	R	.	WHEN LDR/07 = s AND 008/21 = [pP], abfhnp -> Journal Varying Title;;;abfhnp -> Varying Titles
250	EDITION STATEMENT	R	.	ab -> Edition
254	MUSICAL PRESENTATION STATEMENT	NR	.	a -> Musical Presentation
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	abcdefg -> Cartographic Data
256	COMPUTER FILE CHARACTERISTICS	NR	.	not mapped to Endeca
257	COUNTRY OF PRODUCING ENTITY	R	.	not mapped to Endeca
258	PHILATELIC ISSUE DATE	R	.	not mapped to Endeca
261	IMPRINT STATEMENT FOR FILMS	NR	[LOCAL]	not mapped to Endeca
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	abcde -> Imprint;;;b -> Sound Recording Imprint
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	WHEN i2=4, c -> Copyright;;;WHEN i2=4, c -> Copyright Statement;;;WHEN i2=2, abc -> Distribution Statement;;;WHEN i2=2, b -> Distributor;;;WHEN i2=1, abc -> Imprint;;;WHEN i2=3, b -> Manufacturer;;;WHEN i2=3, abc -> Manufacturer Statement;;;WHEN i2=0, b -> Producer;;;WHEN i2=0, abc -> Production Statement;;;WHEN i2=1, c -> Published;;;WHEN i2=1, b -> Publisher
265	SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS	NR	[OBSOLETE]	not mapped to Endeca
270	ADDRESS	R	.	not mapped to Endeca
300	PHYSICAL DESCRIPTION	R	.	abcefg -> Material
301	PHYSICAL DESCRIPTION FOR FILMS		[OBSOLETE]	not mapped to Endeca
