Endeca Element	MARC tag	ind1	ind2	MARC Further constraint	MARC Subfields	INST
Access Restrictions	506	.	.	.	abcdefu	TRLN
Author	100	.	.	.	abcdq	TRLN
Author	110	.	.	.	abcdefg	TRLN
Author	111	.	.	.	acdefnq	TRLN
Author	700	.	.	.	abcdq	TRLN
Author	800	.	.	.	abcdegq	TRLN
Author	810	.	.	.	ab	TRLN
Author	811	.	.	.	acd	TRLN
Biographical Sketch	545	.	.	.	abu	TRLN
Cartographic Data	255	.	.	.	abcdefg	TRLN
Collective Uniform Title	243	.	.	.	adfklmnoprs	TRLN
Constituent Unit Linking	774	.	.	.	abcdghikmnorstuwxyz	TRLN
Copyright	264	.	4	.	c	TRLN
Copyright Statement	264	.	4	.	c	TRLN
Cumulative Indexes	555	.	.	.	abcdu	TRLN
Current Frequency	310	.	.	.	ab	TRLN
Director	700	.	.	4 = drt || e = director		TRLN
Distribution Statement	264	.	2	.	abc	TRLN
Distributor	264	.	2	.	b	TRLN
Earlier Title	780	.	.	.	abcdghnkstxz	TRLN
Edition	250	.	.	.	ab	TRLN
Finding Aid URL	856	.	b012	3 = Finding aid	uyz3	TRLN
Former Frequency	321	.	.	.	ab	TRLN
Genre	600	.	12347	.	v	TRLN
Genre	610	.	12347	.	v	TRLN
Genre	611	.	12347	.	v	TRLN
Genre	630	.	12347	.	v	TRLN
Genre	650	.	12347	.	v	TRLN
Genre	651	.	12347	.	v	TRLN
Genre	655	.	12347	.	a	TRLN
Genre	008	.	.	.	33-34	TRLN
Genre	690	.	.	.	x	TRLN
Has Supplement Linking	770	.	.	.	abcdghikmnorstuwxyz	TRLN
Holdings Note	852	.	.	.		TRLN
Host Item Linking	773	.	.	.	abdghikmnopqrstuwxyz	TRLN
Imprint	264	.	1	.	abc	TRLN
Imprint	260	.	.	.	abcefg	TRLN
Imprint	262	.	.	.	abcde	TRLN
Indexed Notes	500	.	.	.	a	TRLN
Indexed Notes	501	.	.	.	a	TRLN
Indexed Notes	502	.	.	.	a	TRLN
Indexed Notes	504	.	.	.	a	TRLN
Indexed Notes	507	.	.	.	ab	TRLN
Indexed Notes	522	.	.	.	a	TRLN
Indexed Notes	533	.	.	.	cf	TRLN
Indexed Notes	534	.	.	.	abcefnpt	TRLN
Indexed Notes	536	.	.	.	abcdefgh	TRLN
Indexed Notes	541	.	.	.	a	TRLN
Indexed Notes	561	.	.	.	a	TRLN
Indexed Notes	563	.	.	.	a	TRLN
Indexed Notes	581	.	.	.	a	TRLN
