marc tag	subfield	omission type	omission reason category	omission details
020	c	permanent	data quality/currency; misleading to public	Terms of availability change rapidly. We do not keep this field updated. Do not mislead patrons about how much a thing costs.
024	c	permanent	data quality/currency; misleading to public	Terms of availability change rapidly. We do not keep this field updated. Do not mislead patrons about how much a thing costs.
044	b	temporary	low priority	UNC has no data in this subfield. Consider mapping to origin_place fields if $2 value is set and use of subfield increases
044	c	temporary	low priority	UNC 835 instances of 044s with this subfield on 2019-06-14. Many of them recode teh country coded in the $a. Consider mapping to origin_place fields if amount of unique data in this subfield increases.
567	b	temporary	low priority	UNC has no data in this subfield. Consider mapping to genre_headings and subject_genre if ever meaningfully populated
015	z	temporary	low priority	"Cancelled/invalid numbers seemed less important to map. Could be mapped to misc_id field, with ""(canceled or invalid)"" added to the type value, as with the 024"
022	m	temporary	low priority	"Cancelled/invalid numbers seemed less important to map. Could be mapped to misc_id field, with ""(canceled or invalid)"" added to the type value, as with the 024"
022	y	temporary	low priority	"Cancelled/invalid numbers seemed less important to map. Could be mapped to misc_id field, with ""(canceled or invalid)"" added to the type value, as with the 024"
022	z	temporary	low priority	"Cancelled/invalid numbers seemed less important to map. Could be mapped to misc_id field, with ""(canceled or invalid)"" added to the type value, as with the 024"
035	z	temporary	low priority	"Cancelled/invalid numbers seemed less important to map. Could be mapped to misc_id field, with ""(canceled or invalid)"" added to the type value, as with the 024"
041	b	permanent	irrelevant	Language of summary is not language of the item described
041	f	permanent	irrelevant	Language of TOC is not language of the item described
041	h	permanent	irrelevant	Language of original is not language of the translated item described
041	j	permanent	irrelevant	UNC received feedback that all films with English subtitles available should NOT get English assigned as one of the languages of the film. Including language of subtitles as language of the item would render the language facet useless for identifying films that *are* in a given language. Could map this to a different field to support advanced film discovery (language_accessibility or something)
041	k	permanent	irrelevant	Language of intermediate translations is not language of the translated item described
041	m	permanent	irrelevant	Language of minor accompanying material  is not language of the item described
041	n	permanent	irrelevant	Language of original libretto is not language of the libretto for item described
041	p	permanent	irrelevant	"UNC received feedback that all films with English captions available should NOT get English assigned as one of the languages of the film. Including language of captions as language of the item would render the language facet useless for identifying films that *are* in a given language. Could map this to a different field to support advanced film discovery (language_accessibility or something). This subfield is used specifically in moving image records, for SDH or CC captions"
