marc tag	omission type	omission reason category	omission details
013	temporary	infrequently used	60 instances in UNC catalog on 2019-06-14. Most look like miscoded fields. Also of limited public use?
016	temporary	low priority	"Over 244,000 instances in UNC catalog on 2019-06-14. Could map to misc_id, but this was initially considereed a low priority."
017	temporary	infrequently used	"154 instances in UNC catalog as of 2019-06-14. At least in our catalog, users can't expect to find this information consistently. Could map to misc_id if necessary."
018	permanent	of limited use to typical user	Unique identification code for component parts appearing in monographs or continuing resources. Cryptic. Unlikely to assist with discovery.
025	permanent	internal	Internal to Library of Congress. Means nothing for our institutions.
026	permanent	internal	"Used to assist in the identification of antiquarian books by recording information comprising groups of characters taken from specified positions on specified pages of the book. Example: 026 ##$ae-s- 11as$bs,me crth 3$c1797.$dv.1"
031	temporary	infrequently used	"Only 5 instances of field in UNC catalog on 2019-06-14. Very cryptic and would take a lot of work to transform into something useful to end user. Could be useful in an eventual specialized music discovery tool, but this information might be coded elsewhere in the record in more usable ways."
032	permanent	internal	Number assigned to a publication for which the specified postal service permits the use of a special mailing class privilege.
033	temporary	of limited use to typical user	"15,564 occurrences in UNC catalog on 2019-06-14. Could be useful, but this isn't really a chronological *subject* and it's not a publication, etc. date either. Would need to make decisions about whether this is useful for discovery and how to best use it."
034	temporary	of limited use to typical user	"56,450 occurrences in UNC catalog on 2019-06-14. Could be useful in specialized cartographic discovery tool, but doesn't contribute much in the context of our general discovery application. Cryptic, not easily translated into user-sensible display. Information is usually recorded in less structured, more user-readable way elsewhere in record."
036	temporary	infrequently used	"5 occurrences in UNC catalog on 2019-06-14, all miscodings. Could fairly easily be mapped to misc_id if anyone else had more of this data and thought users would expect to search on or find this data in the catalog."
037	temporary	of limited use to typical user	"In general, it seems most users would not know or search for stock numbers in our online catalog. Could be mapped to misc_ids field if there's a use case for including this"
038	permanent	infrequently used	3 occurrences in UNC catalog on 2019-06-14. Highly unlikely to be kept updated/consistent in a library catalog. Of limited use for typical library discovery.
040	permanent	internal	Users don't care about the cataloging history of a record.
042	permanent	internal	Cataloger use only
043	temporary	redundant	Choice of geographic area code is usually based on the geographic names and/or subdivisions in 6XX subject added entry and index term fields. Revisit this decision if that practice ever changes.
045	temporary	complex	"This could be very useful for discovery, but it'd be challenging to do it well. The field means something different for different formats, so we'd need to present it differently per format. Also the data is recorded in a cryptic way that would require complex transformation. Finally, we'd need to figure out how to present different types of dates (dates depicted, dates of content, dates of data generation, date of original composition (music), etc.)"
046	temporary	complex	"Could be useful, but the assumptions of the current catalog include one main publication date. We have few materials that need to use this field in lieu of 008 because of BCE dates. Would need to tangle with how to usefully surface inclusive/bulk dates in UI."
048	temporary	complex	"Structured, coded form of data usually recorded in a human-readable, less machine-actionable form elsewhere in the record. If we ever support more advanced limits/structured searching for music display, map this field."
051	permanent	irrelevant	Our items are not in LC collections
052	temporary	needs review	"62,859 occurrences in UNC catalog on 2019-07-31. In many cases, appears to be an alternate method of encoding information already recorded in other fields we ARE mapping/using already"
055	permanent	irrelevant	Classification scheme not used in significant/meaningful way in our libraries
060	temporary	low priority	"NLM call numbers from ITEM OR HOLDINGS RECORDS should be being handled properly. Using bib 060 data might be of interest to our Health Science libraries for ebooks which may not have call numbers in items/holdings. This will only be useful AFTER there is a call number search/browse that handles NLM, however"
061	permanent	irrelevant	Our items are not in NLM collections
066	permanent	internal	Users don't need to see cryptic codes about scripts used in MARC records
070	permanent	irrelevant	Classification scheme not used in significant/meaningful way in our libraries
071	permanent	irrelevant	Related to use of classification scheme not used in significant/meaningful way in our libraries
072	permanent	irrelevant	Classification scheme not used in significant/meaningful way in our libraries
080	permanent	irrelevant	Classification scheme not used in significant/meaningful way in our libraries
