MARC tag	Field name	Field repeatability	Field note	SF delimiter	SF name	SF repeatability	SF note	Subfield	Endeca element	i1	i2	Other constraint	Institution
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	a	International Standard Book Number	NR	.	020a	ISBN	.	.	.	TRLN-
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	a	International Standard Book Number	NR	.	020a	ISBN	.	.	.	UNC
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	a	International Standard Book Number	NR	.	020a	Syndetics ISBN	.	.	.	TRLN
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	a	International Standard Book Number	NR	.	020a	Syndetics ISBN	.	.	.	TRLN-
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	q	Qualifying information	R	.	020q	ISBN	.	.	.	UNC
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	z	Canceled/invalid ISBN	R	.	020z	ISBN	.	.	.	TRLN-
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	z	Canceled/invalid ISBN	R	.	020z	ISBN	.	.	.	UNC
020	INTERNATIONAL STANDARD BOOK NUMBER	R	.	z	Canceled/invalid ISBN	R	.	020z	Syndetics ISBN	.	.	.	TRLN-
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	a	International Standard Serial Number	NR	.	022a	ISSN	.	.	.	TRLN
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	y	Incorrect ISSN	R	.	022y	ISSN	.	.	.	TRLN
022	INTERNATIONAL STANDARD SERIAL NUMBER	R	.	z	Canceled ISSN	R	.	022z	ISSN	.	.	.	TRLN
024	OTHER STANDARD IDENTIFIER	R	.	a	Standard number or code	NR	.	024a	ISBN	.	.	.	TRLN
024	OTHER STANDARD IDENTIFIER	R	.	a	Standard number or code	NR	.	024a	UPC	1	.	.	TRLN
028	PUBLISHER NUMBER OR DISTRIBUTOR NUMBER	R	.	a	Publisher or distributor number	NR	.	028a	Publisher Number	.	.	.	TRLN
028	PUBLISHER NUMBER OR DISTRIBUTOR NUMBER	R	.	b	Source	NR	.	028b	Publisher Number	.	.	.	TRLN
041	LANGUAGE CODE	R	.	a	Language code of text/sound track or separate title	R	.	041a	Language	.	b	complex constraints specified in transformation code are met	UNC
041	LANGUAGE CODE	R	.	d	Language code of sung or spoken text	R	.	041d	Language	.	b	complex constraints specified in transformation code are met	UNC
041	LANGUAGE CODE	R	.	e	Language code of librettos	R	.	041e	Language	.	b	complex constraints specified in transformation code are met	UNC
041	LANGUAGE CODE	R	.	g	Language code of accompanying material other than librettos	R	.	041g	Language	.	b	complex constraints specified in transformation code are met	UNC
041	LANGUAGE CODE	R	.	j	Language code of subtitles or captions	R	.	041j	Language	.	b	complex constraints specified in transformation code are met	UNC
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	a	Classification number	R	.	050a	Call Number Range	.	.	a 'good' LC# hasn't been extracted from elsewhere	UNC
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	b	Item number	NR	.	050b	Call Number Range	.	.	a 'good' LC# hasn't been extracted from elsewhere	UNC
100	MAIN ENTRY--PERSONAL NAME	NR	.	a	Personal name	NR	.	100a	Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	a	Personal name	NR	.	100a	Main Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	b	Numeration	NR	.	100b	Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	b	Numeration	NR	.	100b	Main Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	c	Titles and other words associated with a name	R	.	100c	Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	c	Titles and other words associated with a name	R	.	100c	Main Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	d	Dates associated with a name	NR	.	100d	Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	d	Dates associated with a name	NR	.	100d	Main Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	e	Relator term	R	.	100e	Main Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	g	Miscellaneous information	R	.	100g	Main Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	q	Fuller form of name	NR	.	100q	Author	.	.	.	TRLN
100	MAIN ENTRY--PERSONAL NAME	NR	.	q	Fuller form of name	NR	.	100q	Main Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	a	Corporate name or jurisdiction name as entry element	NR	.	110a	Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	a	Corporate name or jurisdiction name as entry element	NR	.	110a	Main Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	b	Subordinate unit	R	.	110b	Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	b	Subordinate unit	R	.	110b	Main Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	c	Location of meeting	R	.	110c	Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	c	Location of meeting	R	.	110c	Main Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	d	Date of meeting or treaty signing	R	.	110d	Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	d	Date of meeting or treaty signing	R	.	110d	Main Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	e	Relator term	R	.	110e	Author	.	.	.	TRLN
