MARC tag	ind1	ind2	MARC Further constraint	MARC Subfields	Endeca Element	INST	verified
001	.	.	.	.	OCLCNumber	UNC	
007	.	.	.	various codes may contribute to complex logic	Format	Duke	
007	.	.	.	various codes may contribute to complex logic	Format	NCCU	
007	.	.	.	various codes may contribute to complex logic	Format	NCSU	
007	.	.	.	various codes may contribute to complex logic	Format	UNC	
008	.	.	.	33-34	Genre	Duke	
008	.	.	.	33-34	Genre	NCCU	
008	.	.	.	33-34	Genre	NCSU	
008	.	.	.	33-34	Genre	UNC	
008	.	.	.	35-37	Language	Duke	
008	.	.	.	35-37	Language	NCCU	
008	.	.	.	35-37	Language	NCSU	
008	.	.	.	35-37	Language	UNC	
008	.	.	.	07-10	PubDateSort	Duke	
008	.	.	.	07-10	PubDateSort	NCCU	
008	.	.	.	07-10	PubDateSort	NCSU	
008	.	.	.	07-10	PubDateSort	UNC	
008	.	.	.	07-10	Publication Year	Duke	
008	.	.	.	07-10	Publication Year	NCCU	
008	.	.	.	07-10	Publication Year	NCSU	
008	.	.	.	07-10	Publication Year	UNC	
020	.	.	.	az	ISBN	Duke	
020	.	.	.	az	ISBN	NCCU	
020	.	.	.	az	ISBN	NCSU	
020	.	.	.	aqz	ISBN	UNC	y
020	.	.	.	a	Syndetics ISBN	Duke	
020	.	.	.	a	Syndetics ISBN	NCCU	
020	.	.	.	a	Syndetics ISBN	NCSU	
020	.	.	.	az	Syndetics ISBN	UNC	y
022	.	.	.	ayz	ISSN	Duke	
022	.	.	.	ayz	ISSN	NCCU	
022	.	.	.	ayz	ISSN	NCSU	
022	.	.	.	ayz	ISSN	UNC	
024	.	.	.	a	ISBN	Duke	
024	.	.	.	a	ISBN	NCCU	
024	.	.	.	a	ISBN	NCSU	
024	.	.	.	a	ISBN	UNC	
024	1	.	.	a	UPC	Duke	
024	1	.	.	a	UPC	NCCU	
024	1	.	.	a	UPC	NCSU	
024	1	.	.	a	UPC	UNC	
028	.	.	.	ab	Publisher Number	Duke	
028	.	.	.	ab	Publisher Number	NCCU	
028	.	.	.	ab	Publisher Number	NCSU	
028	.	.	.	ab	Publisher Number	UNC	
041	.	b	complex constraints specified in transformation code are met	adegj	Language	UNC	
050	.	.	a 'good' LC# hasn't been extracted from elsewhere	ab	Call Number Range	UNC	
090	.	.	a 'good' LC# hasn't been extracted from elsewhere	.	Call Number Range	UNC	
100	.	.	.	abcdq	Author	Duke	
100	.	.	.	abcdq	Author	NCCU	
100	.	.	.	abcdq	Author	NCSU	
100	.	.	.	abcdq	Author	UNC	
100	.	.	.	abcdegq	Main Author	Duke	
100	.	.	.	abcdegq	Main Author	NCCU	
100	.	.	.	abcdegq	Main Author	NCSU	
100	.	.	.	abcdegq	Main Author	UNC	
110	.	.	.	abcdefg	Author	Duke	
110	.	.	.	abcdefg	Author	NCCU	
110	.	.	.	abcdefg	Author	NCSU	
110	.	.	.	abcdefg	Author	UNC	
110	.	.	.	abcdefgn	Main Author	Duke	
110	.	.	.	abcdefgn	Main Author	NCCU	
110	.	.	.	abcdefgn	Main Author	NCSU	
110	.	.	.	abcdefgn	Main Author	UNC	
111	.	.	.	acdefnq	Author	Duke	
111	.	.	.	acdefnq	Author	NCCU	
111	.	.	.	acdefnq	Author	NCSU	
111	.	.	.	acdefnq	Author	UNC	
111	.	.	.	abcdefngq	Main Author	Duke	
111	.	.	.	abcdefngq	Main Author	NCCU	
111	.	.	.	abcdefngq	Main Author	NCSU	
111	.	.	.	abcdefngq	Main Author	UNC	
130	.	.	LDR/07=s && 008/21=[pP]	adfghklmnoprs	Journal Uniform Title	Duke	
130	.	.	LDR/07=s && 008/21=[pP]	adfghklmnoprs	Journal Uniform Title	NCCU	
130	.	.	LDR/07=s && 008/21=[pP]	adfghklmnoprs	Journal Uniform Title	NCSU	
130	.	.	LDR/07=s && 008/21=[pP]	adfghklmnoprs	Journal Uniform Title	UNC	
130	.	.	.	adfghklmnoprs	Main Uniform Title	Duke	
130	.	.	.	adfghklmnoprs	Main Uniform Title	NCCU	
130	.	.	.	adfghklmnoprs	Main Uniform Title	NCSU	
130	.	.	.	adfghklmnoprs	Main Uniform Title	UNC	
210	.	.	LDR/07=s && 008/21=[pP]	ab	Journal Title Abbreviation	Duke	
210	.	.	LDR/07=s && 008/21=[pP]	ab	Journal Title Abbreviation	NCCU	
210	.	.	LDR/07=s && 008/21=[pP]	ab	Journal Title Abbreviation	NCSU	
210	.	.	LDR/07=s && 008/21=[pP]	ab	Journal Title Abbreviation	UNC	
210	.	.	.	ab	Title Index	Duke	
210	.	.	.	ab	Title Index	NCCU	
210	.	.	.	ab	Title Index	NCSU	
210	.	.	.	ab	Title Index	UNC	
240	.	.	.	adfghklmnoprs	Uniform Title	Duke	
240	.	.	.	adfghklmnoprs	Uniform Title	NCCU	
240	.	.	.	adfghklmnoprs	Uniform Title	NCSU	
240	.	.	.	adfghklmnoprs	Uniform Title	UNC	
242	.	.	.	c	Other Author Translation	Duke	
242	.	.	.	c	Other Author Translation	NCCU	
242	.	.	.	c	Other Author Translation	NCSU	
242	.	.	.	c	Other Author Translation	UNC	
242	.	.	.	abhnp	Other Title Translation	Duke	
242	.	.	.	abhnp	Other Title Translation	NCCU	
242	.	.	.	abhnp	Other Title Translation	NCSU	
242	.	.	.	abhnp	Other Title Translation	UNC	
243	.	.	.	adfklmnoprs	Collective Uniform Title	Duke	
243	.	.	.	adfklmnoprs	Collective Uniform Title	NCCU	
243	.	.	.	adfklmnoprs	Collective Uniform Title	NCSU	
243	.	.	.	adfklmnoprs	Collective Uniform Title	UNC	
245	.	.	LDR/07=s && 008/21=[pP]	abnp	Journal Title Index	Duke	
245	.	.	LDR/07=s && 008/21=[pP]	abnp	Journal Title Index	NCCU	
245	.	.	LDR/07=s && 008/21=[pP]	abnp	Journal Title Index	NCSU	
245	.	.	LDR/07=s && 008/21=[pP]	abnp	Journal Title Index	UNC	
245	.	.	.	abfghknps	Main Title	Duke	
245	.	.	.	abfghknps	Main Title	NCCU	
245	.	.	.	abfghknps	Main Title	NCSU	
245	.	.	.	abfghknps	Main Title	UNC	
245	.	.	.	c	Statement of Responsibility	Duke	
245	.	.	.	c	Statement of Responsibility	NCCU	
245	.	.	.	c	Statement of Responsibility	NCSU	
245	.	.	.	c	Statement of Responsibility	UNC	
245	.	.	.	abfghknps	Title Sort	Duke	
245	.	.	.	abfghknps	Title Sort	NCCU	
245	.	.	.	abfghknps	Title Sort	NCSU	
245	.	.	.	abfghknps	Title Sort	UNC	
246	.	.	LDR/07=s && 008/21=[pP]	abhnp	Journal Varying Title	Duke	
246	.	.	LDR/07=s && 008/21=[pP]	abhnp	Journal Varying Title	NCCU	
246	.	.	LDR/07=s && 008/21=[pP]	abhnp	Journal Varying Title	NCSU	
246	.	.	LDR/07=s && 008/21=[pP]	abhnp	Journal Varying Title	UNC	
246	.	.	.	abhnp	Varying Titles	Duke	
246	.	.	.	abhnp	Varying Titles	NCCU	
246	.	.	.	abhnp	Varying Titles	NCSU	
246	.	.	.	abhnp	Varying Titles	UNC	
247	.	.	LDR/07=s && 008/21=[pP]	abfhnp	Journal Varying Title	Duke	
247	.	.	LDR/07=s && 008/21=[pP]	abfhnp	Journal Varying Title	NCCU	
247	.	.	LDR/07=s && 008/21=[pP]	abfhnp	Journal Varying Title	NCSU	
247	.	.	LDR/07=s && 008/21=[pP]	abfhnp	Journal Varying Title	UNC	
247	.	.	.	abfhnp	Varying Titles	Duke	
247	.	.	.	abfhnp	Varying Titles	NCCU	
247	.	.	.	abfhnp	Varying Titles	NCSU	
247	.	.	.	abfhnp	Varying Titles	UNC	
250	.	.	.	ab	Edition	Duke	
250	.	.	.	ab	Edition	NCCU	
250	.	.	.	ab	Edition	NCSU	
250	.	.	.	ab	Edition	UNC	
254	.	.	.	a	Musical Presentation	Duke	
254	.	.	.	a	Musical Presentation	NCCU	
254	.	.	.	a	Musical Presentation	NCSU	
254	.	.	.	a	Musical Presentation	UNC	
255	.	.	.	abcdefg	Cartographic Data	Duke	
255	.	.	.	abcdefg	Cartographic Data	NCCU	
255	.	.	.	abcdefg	Cartographic Data	NCSU	
255	.	.	.	abcdefg	Cartographic Data	UNC	
260	.	.	.	abcefg	Imprint	Duke	
260	.	.	.	abcefg	Imprint	NCCU	
260	.	.	.	abcefg	Imprint	NCSU	
260	.	.	.	abcefg	Imprint	UNC	
260	.	.	.	c	Published	Duke	
260	.	.	.	c	Published	NCCU	
260	.	.	.	c	Published	NCSU	
260	.	.	.	c	Published	UNC	
260	.	.	.	bf	Publisher	Duke	
260	.	.	.	bf	Publisher	NCCU	
260	.	.	.	bf	Publisher	NCSU	
260	.	.	.	bf	Publisher	UNC	
262	.	.	.	abcde	Imprint	Duke	
262	.	.	.	abcde	Imprint	NCCU	
262	.	.	.	abcde	Imprint	NCSU	
262	.	.	.	abcde	Imprint	UNC	
262	.	.	.	b	Sound Recording Imprint	Duke	
262	.	.	.	b	Sound Recording Imprint	NCCU	
262	.	.	.	b	Sound Recording Imprint	NCSU	
262	.	.	.	b	Sound Recording Imprint	UNC	
264	.	4	.	c	Copyright	Duke	
264	.	4	.	c	Copyright	NCCU	
264	.	4	.	c	Copyright	NCSU	
264	.	4	.	c	Copyright	UNC	
264	.	4	.	c	Copyright Statement	Duke	
264	.	4	.	c	Copyright Statement	NCCU	
264	.	4	.	c	Copyright Statement	NCSU	
264	.	4	.	c	Copyright Statement	UNC	
264	.	2	.	abc	Distribution Statement	Duke	
264	.	2	.	abc	Distribution Statement	NCCU	
264	.	2	.	abc	Distribution Statement	NCSU	
264	.	2	.	abc	Distribution Statement	UNC	
264	.	2	.	b	Distributor	Duke	
264	.	2	.	b	Distributor	NCCU	
264	.	2	.	b	Distributor	NCSU	
264	.	2	.	b	Distributor	UNC	
264	.	1	.	abc	Imprint	Duke	
264	.	1	.	abc	Imprint	NCCU	
264	.	1	.	abc	Imprint	NCSU	
264	.	1	.	abc	Imprint	UNC	
264	.	3	.	b	Manufacturer	Duke	
264	.	3	.	b	Manufacturer	NCCU	
264	.	3	.	b	Manufacturer	NCSU	
264	.	3	.	b	Manufacturer	UNC	
264	.	3	.	abc	Manufacturer Statement	Duke	
264	.	3	.	abc	Manufacturer Statement	NCCU	
264	.	3	.	abc	Manufacturer Statement	NCSU	
264	.	3	.	abc	Manufacturer Statement	UNC	
264	.	0	.	b	Producer	Duke	
264	.	0	.	b	Producer	NCCU	
264	.	0	.	b	Producer	NCSU	
264	.	0	.	b	Producer	UNC	
264	.	0	.	abc	Production Statement	Duke	
264	.	0	.	abc	Production Statement	NCCU	
264	.	0	.	abc	Production Statement	NCSU	
264	.	0	.	abc	Production Statement	UNC	
264	.	1	.	c	Published	Duke	
264	.	1	.	c	Published	NCCU	
264	.	1	.	c	Published	NCSU	
264	.	1	.	c	Published	UNC	
264	.	1	.	b	Publisher	Duke	
264	.	1	.	b	Publisher	NCCU	
264	.	1	.	b	Publisher	NCSU	
264	.	1	.	b	Publisher	UNC	
300	.	.	.	abcefg	Material	Duke	
300	.	.	.	abcefg	Material	NCCU	
300	.	.	.	abcefg	Material	NCSU	
300	.	.	.	abcefg	Material	UNC	
310	.	.	.	ab	Current Frequency	Duke	
310	.	.	.	ab	Current Frequency	NCCU	
310	.	.	.	ab	Current Frequency	NCSU	
310	.	.	.	ab	Current Frequency	UNC	
321	.	.	.	ab	Former Frequency	Duke	
321	.	.	.	ab	Former Frequency	NCCU	
321	.	.	.	ab	Former Frequency	NCSU	
321	.	.	.	ab	Former Frequency	UNC	
344	.	.	.	abcdefgh3	Material Details	Duke	
344	.	.	.	abcdefgh3	Material Details	NCCU	
344	.	.	.	abcdefgh3	Material Details	NCSU	
344	.	.	.	abcdefgh3	Material Details	UNC	
345	.	.	.	ab3	Material Details	Duke	
345	.	.	.	ab3	Material Details	NCCU	
345	.	.	.	ab3	Material Details	NCSU	
345	.	.	.	ab3	Material Details	UNC	
346	.	.	.	ab3	Material Details	Duke	
346	.	.	.	ab3	Material Details	NCCU	
346	.	.	.	ab3	Material Details	NCSU	
346	.	.	.	ab3	Material Details	UNC	
347	.	.	.	abcdef3	Material Details	Duke	
347	.	.	.	abcdef3	Material Details	NCCU	
347	.	.	.	abcdef3	Material Details	NCSU	
347	.	.	.	abcdef3	Material Details	UNC	
351	.	.	.	a	Organization	Duke	
351	.	.	.	a	Organization	NCCU	
351	.	.	.	a	Organization	NCSU	
351	.	.	.	a	Organization	UNC	
362	.	.	.	a	Volumes	Duke	
362	.	.	.	a	Volumes	NCCU	
362	.	.	.	a	Volumes	NCSU	
362	.	.	.	a	Volumes	UNC	
440	.	.	.	x	Series ISSN	Duke	
440	.	.	.	x	Series ISSN	NCCU	
440	.	.	.	x	Series ISSN	NCSU	
440	.	.	.	x	Series ISSN	UNC	
440	.	.	.	anpvx	Series Statement	Duke	
440	.	.	.	anpvx	Series Statement	NCCU	
440	.	.	.	anpvx	Series Statement	NCSU	
440	.	.	.	anpvx	Series Statement	UNC	
490	.	.	.	x	Series ISSN	Duke	
490	.	.	.	x	Series ISSN	NCCU	
490	.	.	.	x	Series ISSN	NCSU	
490	.	.	.	x	Series ISSN	UNC	
490	.	.	.	avx	Series Statement	Duke	
490	.	.	.	avx	Series Statement	NCCU	
490	.	.	.	avx	Series Statement	NCSU	
490	.	.	.	avx	Series Statement	UNC	
500	.	.	.	a	Indexed Notes	Duke	
500	.	.	.	a	Indexed Notes	NCCU	
500	.	.	.	a	Indexed Notes	NCSU	
500	.	.	.	a	Indexed Notes	UNC	
501	.	.	.	a	Indexed Notes	Duke	
501	.	.	.	a	Indexed Notes	NCCU	
501	.	.	.	a	Indexed Notes	NCSU	
501	.	.	.	a	Indexed Notes	UNC	
502	.	.	.	a	Indexed Notes	Duke	
502	.	.	.	a	Indexed Notes	NCCU	
502	.	.	.	a	Indexed Notes	NCSU	
502	.	.	.	a	Indexed Notes	UNC	
504	.	.	.	a	Indexed Notes	Duke	
504	.	.	.	a	Indexed Notes	NCCU	
504	.	.	.	a	Indexed Notes	NCSU	
504	.	.	.	a	Indexed Notes	UNC	
505	.	.	.	agrt	Table of Contents	Duke	
505	.	.	.	agrt	Table of Contents	NCCU	
505	.	.	.	agrt	Table of Contents	NCSU	
505	.	.	.	agrt	Table of Contents	UNC	
505	.	.	.	r	Table of Contents author index	Duke	
505	.	.	.	r	Table of Contents author index	NCCU	
505	.	.	.	r	Table of Contents author index	NCSU	
505	.	.	.	r	Table of Contents author index	UNC	
506	.	.	.	abcdeu	Access Restrictions	Duke	
